year,total_accidents,fatal,non_fatal,people_killed,people_injured,total_vehicles
2009-10,9747,4378,5369,5280,11173,10496
2010-11,9723,4280,5443,5271,11383,10822
2011-12,9140,3966,5174,4758,10145,9986
2012-13,8988,3884,5104,4719,9710,9876
2013-14,8359,3500,4859,4348,9777,9423
2014-15,7865,3214,4651,3954,9661,8949
2015-16,9100,3591,5509,4448,11544,10636
2016-17,9582,4036,5546,5047,12696,11317
2017-18,11121,4829,6292,5948,14489,13134
2018-19,10779,4878,5901,5932,13219,12908
2019-20,9701,4403,5298,5436,12317,12894
